"","Gene Set","P Value  0","P Value  1","P Value  2","P Value  3","P Value  4","P Value  5","P Value  6","P Value  7","P Value  8","P Value  9","P Value  10","P Value  11","P Value  12","P Value  13","P Value  14","P Value  15","P Value  16","P Value  17","Fold Change  0","Fold Change  1","Fold Change  2","Fold Change  3","Fold Change  4","Fold Change  5","Fold Change  6","Fold Change  7","Fold Change  8","Fold Change  9","Fold Change  10","Fold Change  11","Fold Change  12","Fold Change  13","Fold Change  14","Fold Change  15","Fold Change  16","Fold Change  17"
"Ovary_dm_32339165_Jevitt","Dorsal Appendage Forming Follicle","5.01e-3","7.56e-4","-","1.00e-25","1.61e-1","-","-","3.51e-2","7.56e-4","5.73e-7","5.78e-3","-","1.00e-25","8.12e-5","3.51e-2","1.00e-25","1.61e-1","5.78e-3","5.8054","6.9665","-","34.8325","2.7866","-","-","4.1799","6.9665","11.1464","5.5732","-","30.6526","8.3598","4.1799","50.1588","2.7866","5.5732"
"Ovary_dm_FCAvs2_10x","dorsal appendage forming follicle cell","6.46e-5","1.00e-25","-","1.00e-25","8.12e-5","-","-","-","2.52e-22","7.36e-6","-","-","1.00e-25","-","3.51e-2","1.23e-10","3.51e-2","1.61e-1","8.7081","50.1588","-","64.0918","8.3598","-","-","-","26.4727","9.7531","-","-","47.3722","-","4.1799","15.3263","4.1799","2.7866"
"Ovary_dm_FCAvs2_10x","escort cell","1.48e-13","-","1.61e-1","3.88e-8","1.00e-25","7.56e-4","3.51e-2","-","-","-","5.78e-3","-","3.51e-2","-","3.51e-2","3.51e-2","7.36e-6","3.51e-2","18.8676","-","2.7866","12.5397","62.6985","6.9665","4.1799","-","-","-","5.5732","-","4.1799","-","4.1799","4.1799","9.7531","4.1799"
"Ovary_dm_FCAvs2_10x","follicle stem cell and prefollicle cell","1.00e-25","1.61e-1","-","7.36e-6","1.00e-25","1.61e-1","-","-","1.61e-1","-","3.88e-8","-","-","1.61e-1","3.51e-2","1.61e-1","5.73e-7","8.12e-5","44.992","2.7866","-","9.7531","73.8449","2.7866","-","-","2.7866","-","12.5397","-","-","2.7866","4.1799","2.7866","11.1464","8.3598"
"Ovary_dm_32339165_Jevitt","FSC/pre-Follicle Cells","3.60e-12","-","5.78e-3","3.51e-2","1.17e-17","3.51e-2","7.56e-4","-","-","-","3.51e-2","1.61e-1","-","1.61e-1","1.61e-1","-","1.61e-1","8.12e-5","17.4163","-","5.5732","4.1799","22.2928","4.1799","6.9665","-","-","-","4.1799","2.7866","-","2.7866","2.7866","-","2.7866","8.3598"
"Ovary_dm_31919193_Slaidina","FSCP","2.71e-8","-","-","1.61e-1","8.12e-5","-","-","3.51e-2","1.61e-1","-","8.12e-5","-","1.61e-1","-","-","-","5.78e-3","3.51e-2","13.0622","-","-","2.7866","8.3598","-","-","4.1799","2.7866","-","8.3598","-","2.7866","-","-","-","5.5732","4.1799"
"Ovary_dm_31919193_Slaidina","GC","-","-","8.12e-5","-","-","5.73e-7","2.32e-9","-","-","-","-","7.36e-6","-","-","-","-","-","-","-","-","8.3598","-","-","11.1464","13.933","-","-","-","-","9.7531","-","-","-","-","-","-"
"Ovary_dm_FCAvs2_10x","germ cell stage 4 and later","-","-","2.55e-13","-","-","1.23e-10","1.00e-25","-","-","-","-","2.32e-9","-","-","-","-","-","-","-","-","18.1129","-","-","15.3263","40.4057","-","-","-","-","13.933","-","-","-","-","-","-"
"Ovary_dm_32339165_Jevitt","Germline 1","-","-","7.36e-6","-","-","7.56e-4","2.32e-9","-","-","-","-","1.23e-10","-","-","-","-","-","-","-","-","9.7531","-","-","6.9665","13.933","-","-","-","-","15.3263","-","-","-","-","-","-"
"Ovary_dm_32339165_Jevitt","Germline 2","-","-","1.00e-25","-","-","5.78e-3","1.00e-25","-","3.51e-2","-","-","1.00e-25","-","-","-","-","-","-","-","-","34.8325","-","-","5.5732","41.799","-","4.1799","-","-","40.4057","-","-","-","-","-","-"
"Ovary_dm_FCAvs2_10x","germline cell, unknown stage","-","-","3.53e-19","-","-","5.78e-3","1.00e-25","-","-","-","-","2.55e-13","-","-","-","-","-","-","-","-","23.6861","-","-","5.5732","43.1923","-","-","-","-","18.1129","-","-","-","-","-","-"
"Ovary_dm_32339165_Jevitt","Hemocytes","-","-","-","-","1.61e-1","-","-","5.73e-7","-","3.51e-2","-","-","-","1.61e-1","-","-","1.61e-1","1.23e-10","-","-","-","-","2.7866","-","-","11.1464","-","4.1799","-","-","-","2.7866","-","-","2.7866","15.3263"
