group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
8,Femcoat,96.55549,6.42274,2.060857152105268e-209,1.0846616590027727e-207,1.0,0.35201928872814947
8,CR33319,8.608709,6.382965,2.029997581050407e-15,5.9183602946075994e-15,0.29901960784313725,0.004671488848704038
8,DIP-kappa,8.220687,6.2592883,2.3641097375128436e-14,6.64075768964282e-14,0.27450980392156865,0.004972875226039783
8,Pgant9,146.40462,6.2025623,0.0,0.0,1.0,0.5161241711874623
8,rk,15.205448,5.8949256,2.0728681334848105e-35,1.0602906053630744e-34,0.696078431372549,0.044755877034358044
8,Acer,34.968838,5.812419,4.923846780912373e-89,6.609190309949495e-88,0.9607843137254902,0.1274864376130199
8,CG18268,24.174286,5.6899924,6.042542990889424e-62,5.2090887852495034e-61,0.8382352941176471,0.05364677516576251
8,Tusp,59.330048,5.641308,6.299381818030857e-140,1.6577320573765414e-138,0.9901960784313726,0.12371910789632308
8,CG31926,35.31463,5.603845,6.342446183013457e-90,8.808953031963135e-89,0.9509803921568627,0.11648583484026521
8,CG6055,7.182358,5.5917444,1.2671770348117792e-11,3.22847652181345e-11,0.25,0.005877034358047016
8,Epac,27.577435,5.55893,4.431349667644806e-71,4.568401719221449e-70,0.8774509803921569,0.06841470765521399
8,lncRNA:CR44472,10.740684,5.324792,1.3094406358611726e-21,4.676573699504187e-21,0.4117647058823529,0.01431585292344786
8,CG15249,9.869494,5.24848,5.047540799283452e-19,1.6686085286887445e-18,0.4117647058823529,0.017932489451476793
8,CG3014,13.902215,5.2217855,2.391704407626328e-31,1.1335091979271698e-30,0.5637254901960784,0.02245328511151296
8,Tie,44.568516,5.215303,6.988715099363904e-112,1.3311838284502676e-110,0.9803921568627451,0.18505123568414708
8,Muc12Ea,24.574387,5.200765,1.503172141877202e-63,1.3481364501140824e-62,0.8823529411764706,0.22573839662447256
8,slif,34.35072,5.1367846,1.2505603498943104e-88,1.656371324363325e-87,0.9656862745098039,0.27531645569620256
8,CG13084,56.24464,5.071015,1.3413216825233584e-136,3.4392863654445085e-135,1.0,0.24608197709463533
8,lncRNA:CR45232,17.79443,5.058636,2.0524374080007932e-43,1.2867946131666415e-42,0.7254901960784313,0.05650994575045208
9,GstT4,43.82792,6.565665,6.062511848644164e-159,1.5544902176010676e-157,0.8951219512195122,0.07496111975116641
9,Jhe,8.955667,6.180945,1.1956563627584984e-17,3.826100360827195e-17,0.1926829268292683,0.005132192846034215
9,CG34417,63.955315,6.109342,6.347936239499411e-233,3.255351917692006e-231,0.9804878048780488,0.22348367029548988
9,lncRNA:CR45756,19.151333,5.902076,6.798277141999101e-59,4.8214731503539726e-58,0.5317073170731708,0.02255054432348367
9,Ilp8,51.56463,5.672575,4.2370080428810495e-191,1.5988709595777546e-189,0.9439024390243902,0.19751166407465007
9,lncRNA:CR43250,23.046171,5.388508,3.264043770888434e-76,2.8758094897695453e-75,0.6609756097560976,0.05738724727838258
9,dpr8,26.26758,5.22287,1.629480942143467e-90,1.742760365928842e-89,0.7317073170731707,0.09704510108864697
9,CG3348,19.221115,5.092703,2.6960782118530783e-59,1.939624612843941e-58,0.6,0.06485225505443235
9,Irc,30.013987,4.943455,1.6383899150771963e-106,2.2291019252750972e-105,0.7829268292682927,0.07869362363919129
9,Octbeta2R,41.12025,4.929274,3.959361804893324e-159,1.0284056636086556e-157,0.9390243902439024,0.23810264385692068
9,plx,68.930176,4.9222293,1.3502217363690934e-263,8.711107976574796e-262,0.9829268292682927,0.2534992223950233
9,lncRNA:CR44914,12.410989,4.8915896,2.9114066935773256e-30,1.2939585304788114e-29,0.3121951219512195,0.019440124416796267
9,Gadd45,33.289104,4.6285157,2.353142311441546e-121,3.889491423870324e-120,0.8609756097560975,0.1749611197511664
9,CG14535,8.613129,4.6107464,1.5325290801612568e-16,4.686633272664394e-16,0.18292682926829268,0.01088646967340591
9,sog,33.407753,4.441172,9.008921036902558e-123,1.5014868394837597e-121,0.8682926829268293,0.17371695178849145
9,Dscam1,9.163352,4.433318,2.4046658248638314e-18,7.871246562565734e-18,0.2073170731707317,0.015707620528771383
9,Nrg,63.297436,4.4054294,1.3063601159897848e-277,1.0048923969152191e-275,1.0,0.5202177293934681
9,CG33080,12.684316,4.350566,2.3100433894517e-31,1.0596529309411467e-30,0.348780487804878,0.030793157076205287
9,Lac,46.430172,4.2912717,3.398879124934705e-176,1.1143865983392474e-174,0.9390243902439024,0.22457231726283047
9,CG16700,26.438564,4.2420936,1.0860392111334164e-91,1.1804774034058874e-90,0.7414634146341463,0.10793157076205288
9,Ugt301D1,27.6102,4.241581,7.554769536589972e-97,8.993773257845204e-96,0.8048780487804879,0.18195956454121306
9,Nha1,23.672016,4.11249,1.459390980447216e-79,1.332777151093348e-78,0.7024390243902439,0.10762052877138413
9,CG15279,7.613311,4.0943575,1.8383412997767338e-13,5.127869734384195e-13,0.15365853658536585,0.012130637636080872
9,Oatp74D,41.54983,4.0792756,3.0136229801102296e-161,8.144926973270892e-160,0.948780487804878,0.2513219284603421
9,mgl,76.94746,4.061101,0.0,0.0,1.0,0.6076205287713842
10,CG5326,55.950985,5.6132016,0.0,0.0,0.8228678537956888,0.09527108955482418
